Line number,BST Insertion for Randomized Dataset,AVL Insertion for Randomized Dataset,BST Search for Randomized Dataset,AVL Search for Randomized Dataset,BST Insertion for Sorted Dataset,AVL Insertion for Sorted Dataset,BST Search for Sorted Dataset,AVL Search for Sorted Dataset
11,506900,652100,53300,33200,73000,72500,55700,30200
26,1117200,1090200,96100,98200,125200,797000,32400,44200
51,1385900,1996900,70500,1137500,158000,302400,59200,25100
101,1305800,2647500,194300,85700,578900,226400,226200,62100
151,3088400,2547900,131000,306500,1015800,412100,483400,101100
201,1610300,3287100,155900,358300,1695100,528400,1305700,1461400
251,5354500,4992500,220200,216700,2944500,782700,1367100,178200
301,9566700,6416400,244700,466000,4218300,1366500,1841800,407800
351,8120000,11833700,317700,333700,7280500,1431900,7629400,1123900
392,7486300,11913000,769400,390600,6462100,1174600,6114100,184700
